MeasurementMode,DateTimeLocal,DateTimeUTC,DateTimeUTCISO,Millisecond (ms),EsRoll (?),EsPitch (?),Es305 (?W/(cm? nm)),Es340 (?W/(cm? nm)),Es380 (?W/(cm? nm)),Es412 (?W/(cm? nm)),Es443 (?W/(cm? nm)),Es510 (?W/(cm? nm)),Es610 (?W/(cm? nm)),Es625 (?W/(cm? nm)),Es665 (?W/(cm? nm)),Es694 (?W/(cm? nm)),Es750 (?W/(cm? nm)),Es765 (?W/(cm? nm)),Es875 (?W/(cm? nm)),Es940 (?W/(cm? nm)),Es1020 (?W/(cm? nm)),Es1245 (?W/(cm? nm)),Es1550 (?W/(cm? nm)),Es1640 (?W/(cm? nm)),Es0 (?W/(cm? nm)),EsTemp (?C),BioShadeAngle (?),BioShadeMode,SolarAzimuthAngle (?),SolarZenithAngle (?),Es305_corr (?W/(cm? nm))
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.002",2,-1.747616,-1.25819,4.789279,55.17518,70.81894,124.3034,139.983,157.7045,134.819,133.5785,130.4261,114.715,109.355,70.62983,80.28813,32.22316,60.55383,38.52567,23.82851,19.39323,2704.992,39.78809,0.590625,"Z",282.8203,68.4995,4.048234
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.071",71,-1.747616,-1.18828,4.791797,55.18348,70.83257,124.3402,139.9917,157.7263,134.8406,133.587,130.4468,114.7363,109.3697,70.63107,80.30124,32.22649,60.56284,38.52935,23.83419,19.39523,2704.927,39.79543,0.590625,"Z",282.8203,68.4995,4.050363
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.135",135,-1.607768,-1.118372,4.791066,55.18372,70.83061,124.334,139.9821,157.7271,134.8358,133.5916,130.4443,114.7348,109.3724,70.63676,80.30133,32.22545,60.56453,38.52912,23.83187,19.39528,2705.438,39.77818,0.590625,"Z",282.8203,68.4995,4.049745
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.201",201,-1.817544,-0.9086576,4.792342,55.20591,70.86242,124.4116,140.0613,157.8164,134.9103,133.6701,130.5212,114.8018,109.439,70.67671,80.34604,32.24126,60.60243,38.55338,23.85032,19.40847,2706.4,39.78493,0.590625,"Z",282.8225,68.503,4.050591
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.293",293,-1.677691,-0.7688549,4.790951,55.20755,70.86555,124.4083,140.0684,157.8134,134.9209,133.6657,130.5229,114.7886,109.433,70.67376,80.34406,32.23846,60.5994,38.5552,23.84883,19.4084,2706.565,39.78461,0.590625,"Z",282.8225,68.503,4.049416
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.339",339,-1.677691,-0.8387555,4.79197,55.21902,70.89197,124.3933,140.106,157.8727,134.9591,133.7178,130.5664,114.8359,109.4772,70.70296,80.37151,32.24316,60.62321,38.56865,23.85854,19.41573,2707.68,39.78852,0.590625,"Z",282.8225,68.503,4.050277
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.419",419,-1.957407,-0.6989553,4.795716,55.22595,70.89905,124.4506,140.144,157.9153,134.9928,133.7475,130.5974,114.8621,109.4976,70.71809,80.39181,32.25108,60.63509,38.57713,23.86446,19.42108,2708.084,39.79522,0.590625,"Z",282.8225,68.503,4.053443
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.465",465,-1.887474,-0.5591593,4.797052,55.24885,70.93149,124.5402,140.1932,157.9904,135.0603,133.8076,130.663,114.9196,109.5493,70.75224,80.43408,32.26747,60.66537,38.59782,23.87698,19.43085,2709.99,39.79494,0.590625,"Z",282.8225,68.503,4.054573
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.543",543,-1.677691,-0.3494712,4.795184,55.26338,70.9514,124.5319,140.28,158.0364,135.108,133.8615,130.711,114.9615,109.5982,70.77654,80.46423,32.2795,60.69036,38.61301,23.88508,19.43908,2710.835,39.81606,0.590625,"Z",282.8225,68.503,4.052994
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.591",591,-1.957407,-0.2096819,4.797366,55.27994,70.97459,124.6135,140.3164,158.1083,135.1858,133.9248,130.7798,115.018,109.6485,70.81395,80.49808,32.29284,60.72219,38.63406,23.90039,19.4495,2711.851,39.80298,0.590625,"Z",282.8225,68.503,4.054838
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.661",661,-1.817544,-0.2096819,4.799385,55.28892,70.99581,124.6467,140.3479,158.1562,135.2113,133.9635,130.805,115.0525,109.6773,70.83022,80.52987,32.30134,60.73815,38.64513,23.90742,19.45478,2712.867,39.79886,0.590625,"Z",282.8225,68.503,4.056544
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.722",722,-1.887474,-0.1397877,4.796253,55.28901,70.99206,124.6373,140.3749,158.1527,135.2083,133.9542,130.8035,115.0464,109.6703,70.82785,80.52632,32.29759,60.73635,38.64269,23.9049,19.45423,2712.821,39.80443,0.590625,"Z",282.8225,68.503,4.053897
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.792",792,-2.027343,0,4.801363,55.30347,71.01333,124.7017,140.3982,158.205,135.2546,134.0095,130.8523,115.0814,109.715,70.85699,80.55508,32.31108,60.7616,38.65899,23.91736,19.46287,2714.13,39.7907,0.590625,"Z",282.8225,68.503,4.058216
"3",06/02/2018 15:00:00,"2018-06-02 15:00:00","2018-06-02 15:00:00.852",852,-1.677691,0.1397877,4.801538,55.31664,71.03182,124.7075,140.431,158.2444,135.3,134.0479,130.8933,115.1247,109.7487,70.8764,80.57819,32.31718,60.77609,38.67225,23.924,19.46902,2714.299,39.81298,0.590625,"Z",282.8225,68.503,4.058364
