#Wavelength,Es305,Es340,Es380,Es412,Es443,Es510,Es610,Es625,Es665,Es694,Es750,Es765,Es875,Es940,Es1020,Es1245,Es1550,Es1640,Es0
298,0.76542564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077798899
298.5,0.784415257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078511409
299,0.803404874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079223363
299.5,0.822394491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079934738
300,0.841384108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080645509
300.5,0.860373725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081355658
301,0.87742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082065165
301.5,0.901412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082774013
302,0.881823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083482184
302.5,0.900984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084189664
303,0.897021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084896439
303.5,0.929746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085602496
304,0.939686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086307822
304.5,0.950305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087012408
305,0.955352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087716245
305.5,0.949303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088419325
306,0.983131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089121642
306.5,0.9924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089823193
307,0.94901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090523973
307.5,0.849669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091223981
308,0.659867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091923215
308.5,0.43586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092621676
309,0.241099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093319367
309.5,0.136673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094016291
310,0.073802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094712452
310.5,0.038507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095407855
311,0.024791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096102506
